Filename,Correct,Word1,Word2,Word3,Word4,Word5,Word6,Word7,Word8,Word9,
[
[HS9.txt,Correct,first,program,space,failed,killed,died,human,without,fire],
[CS9.txt,Wrong,instructions,hardware,architecture,first,left,another,third,assembly,related],
[HS21.txt,Correct,president,became,first,time,state,power,took,part,remained],
[CS4.txt,Correct,chapter,computer,first,software,words,technology,basic,components,integrated],
[HS19.txt,Correct,international,took,came,result,diplomatic,ties,provide,team,currency],
[CS16.txt,Correct,processor,language,using,single,written,version,processors,core,allows],
[CS10.txt,Correct,program,code,memory,machine,using,shows,compiler,even,power],
[CS14.txt,Correct,memory,data,code,machine,first,called,shows,stack,need],
[CS2.txt,Correct,address,page,system,must,operating,user,process,tables,space],
[CS23.txt,Correct,used,computers,three,following,understanding,sites,find,important,digital],
[CS8.txt,Wrong,hardware,instruction,first,three,last,field,half,fields,type],
[HS6.txt,Correct,communist,countries,leader,century,large,troops,right,border,result],
[CS20.txt,Correct,section,compiler,program,language,machine,level,high,function,understand],
[CS11.txt,Correct,memory,computer,data,programs,code,program,used,write,also],
[CS22.txt,Wrong,instruction,architecture,number,become,programs,language,viable,distributed,increases],
[CS12.txt,Wrong,first,election,presidential,found,traditional,mass,media,news,services],
[CS15.txt,Correct,memory,single,following,string,faster,like,name,half,takes],
[HS15.txt,Correct,first,world,time,years,poor,called,among,number,former],
[HS3.txt,Correct,also,became,political,world,military,nations,nation,king,death],
[HS17.txt,Correct,government,became,state,power,economy,time,early,trade,system],
[CS21.txt,Wrong,instruction,architecture,effect,possible,causes,exception,specifies,defines,NA],
[HS18.txt,Correct,government,years,would,leader,minister,nuclear,prime,within,well],
[HS8.txt,Correct,many,first,forces,made,including,human,become,brought,space],
[HS20.txt,Correct,became,political,social,including,continued,number,house,schools,poor],
[HS10.txt,Correct,political,military,movement,students,came,found,result,action,student],
[HS7.txt,Correct,would,world,many,called,early,nation,century,great,lead],
[CS1.txt,Correct,data,address,page,also,system,process,access,table,change],
[CS7.txt,Correct,computer,performance,software,interface,many,cost,designers,level,systems],
[CS17.txt,Wrong,hardware,architecture,found,include,language,close,limited,longer,creator],
[CS19.txt,Correct,memory,example,loop,many,access,often,execute,optimization,statement],
[HS4.txt,Correct,military,also,government,forces,would,declared,position,peaceful,argued],
[CS18.txt,Correct,program,used,using,code,library,version,even,large,loads],
[HS5.txt,Correct,became,first,union,percent,minister,nation,prime,held,three],
[HS1.txt,Correct,nations,treaty,communist,well,cold,continued,trade,number,member],
[HS13.txt,Correct,first,national,members,took,part,several,court,federal,organizations],
[CS13.txt,Wrong,large,could,found,quickly,cities,place,industry,half,main],
[HS16.txt,Correct,many,began,also,world,years,early,work,life,number],
[HS12.txt,Correct,people,also,president,economic,army,economy,killed,region,front],
[HS11.txt,Correct,political,first,rights,movement,civil,major,organization,left,created],
[HS14.txt,Correct,began,death,forced,science,close,accepted,study,approach,research],
[CS3.txt,Correct,data,used,different,since,process,cache,occur,running,problems],
[HS2.txt,Correct,also,nations,treaty,would,support,took,conference,signed,result],
[CS5.txt,Wrong,hardware,program,high,programs,language,level,resulting,forms,basis],
[HS22.txt,Correct,women,became,first,president,movement,party,world,major,although],
[CS6.txt,Correct,number,computers,processors,embedded,compare,every,desktop,count,based]
]
